,contraste,indice
0,intersection Notip/pARI,3584.0
1,intersection ARI/pARI,2962.0
2,intersection Notip/pARI,2275.0
3,intersection ARI/pARI,2029.0
4,intersection Notip/pARI,1256.0
5,intersection ARI/pARI,1044.0
6,intersection Notip/pARI,3844.0
7,intersection ARI/pARI,3390.0
8,intersection Notip/pARI,3932.0
9,intersection ARI/pARI,3343.0
10,intersection Notip/pARI,5636.0
11,intersection ARI/pARI,4717.0
12,intersection Notip/pARI,5739.0
13,intersection ARI/pARI,4984.0
14,intersection Notip/pARI,4754.0
15,intersection ARI/pARI,3396.0
16,intersection Notip/pARI,6604.0
17,intersection ARI/pARI,5384.0
18,intersection Notip/pARI,2234.0
19,intersection ARI/pARI,1467.0
20,intersection Notip/pARI,1587.0
21,intersection ARI/pARI,882.0
22,intersection Notip/pARI,526.0
23,intersection ARI/pARI,294.0
24,intersection Notip/pARI,1186.0
25,intersection ARI/pARI,701.0
26,intersection Notip/pARI,7970.0
27,intersection ARI/pARI,6597.0
28,intersection Notip/pARI,4452.0
29,intersection ARI/pARI,3604.0
30,intersection Notip/pARI,
31,intersection ARI/pARI,
32,intersection Notip/pARI,1072.0
33,intersection ARI/pARI,412.0
34,intersection Notip/pARI,975.0
35,intersection ARI/pARI,484.0
36,intersection Notip/pARI,157.0
37,intersection ARI/pARI,55.0
38,intersection Notip/pARI,5577.0
39,intersection ARI/pARI,4434.0
40,intersection Notip/pARI,3823.0
41,intersection ARI/pARI,2910.0
42,intersection Notip/pARI,859.0
43,intersection ARI/pARI,422.0
44,intersection Notip/pARI,4092.0
45,intersection ARI/pARI,3494.0
46,intersection Notip/pARI,1750.0
47,intersection ARI/pARI,759.0
48,intersection Notip/pARI,7924.0
49,intersection ARI/pARI,6058.0
50,intersection Notip/pARI,10177.0
51,intersection ARI/pARI,8038.0
52,intersection Notip/pARI,4790.0
53,intersection ARI/pARI,3372.0
54,intersection Notip/pARI,1624.0
55,intersection ARI/pARI,1001.0
56,intersection Notip/pARI,261.0
57,intersection ARI/pARI,87.0
58,intersection Notip/pARI,5504.0
59,intersection ARI/pARI,3998.0
60,intersection Notip/pARI,6127.0
61,intersection ARI/pARI,4546.0
62,intersection Notip/pARI,16995.0
63,intersection ARI/pARI,16216.0
64,intersection Notip/pARI,10239.0
65,intersection ARI/pARI,9472.0
66,intersection Notip/pARI,5577.0
67,intersection ARI/pARI,4434.0
68,intersection Notip/pARI,1976.0
69,intersection ARI/pARI,1386.0
70,intersection Notip/pARI,7760.0
71,intersection ARI/pARI,6008.0
