contraste,intersection Notip/pARI,intersection ARI/pARI
0,3972.0,3248.0
1,2514.0,2172.0
2,1396.0,1137.0
3,4338.0,3664.0
4,4304.0,3648.0
5,6061.0,5222.0
6,6014.0,5335.0
7,5491.0,4015.0
8,7535.0,6148.0
9,2459.0,1725.0
10,1915.0,1116.0
11,646.0,396.0
12,1466.0,950.0
13,8801.0,7381.0
14,4894.0,4013.0
15,,
16,1571.0,701.0
17,1336.0,744.0
18,233.0,85.0
19,6734.0,5294.0
20,4219.0,3294.0
21,1113.0,589.0
22,4706.0,3895.0
23,2410.0,1360.0
24,9639.0,7169.0
25,11843.0,9599.0
26,6007.0,4199.0
27,1981.0,1285.0
28,457.0,159.0
29,6917.0,4824.0
30,7559.0,5513.0
31,18311.0,17459.0
32,10981.0,10091.0
33,6734.0,5294.0
34,2388.0,1707.0
35,8836.0,7074.0
