Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,-33.0,-88.0,-8.0,7.96,32076,0.84,0.91,0.94
1a,-36.0,-76.0,-17.0,6.95,,,,
1b,-36.0,-49.0,-17.0,5.94,,,,
1c,-45.0,-55.0,-11.0,5.22,,,,
2,-51.0,-22.0,10.0,7.79,16281,0.75,0.85,0.89
3,66.0,-22.0,10.0,7.14,19359,0.78,0.86,0.91
3a,60.0,-10.0,7.0,6.83,,,,
3b,54.0,-19.0,10.0,6.73,,,,
3c,48.0,-16.0,1.0,6.38,,,,
4,-42.0,-22.0,55.0,7.07,17226,0.75,0.85,0.90
4a,-39.0,-16.0,64.0,6.13,,,,
4b,-36.0,-37.0,64.0,5.80,,,,
4c,-27.0,-40.0,67.0,5.32,,,,
5,39.0,-82.0,-11.0,7.00,36612,0.84,0.92,0.95
5a,21.0,-94.0,-5.0,6.80,,,,
5b,30.0,-91.0,-5.0,6.70,,,,
5c,30.0,-85.0,1.0,6.62,,,,
6,-3.0,-7.0,52.0,4.89,1269,0.15,0.21,0.00
7,-42.0,8.0,34.0,4.57,1944,0.03,0.17,0.18
7a,-45.0,2.0,46.0,4.34,,,,
8,-39.0,-4.0,16.0,4.27,135,0.00,0.00,0.00
9,-27.0,-79.0,34.0,4.21,2808,0.00,0.06,0.37
9a,-30.0,-52.0,46.0,4.17,,,,
9b,-30.0,-58.0,52.0,4.11,,,,
9c,-27.0,-70.0,34.0,4.02,,,,
10,21.0,-49.0,70.0,4.04,243,0.00,0.00,0.00
11,36.0,-67.0,-32.0,4.03,135,0.00,0.00,0.00
12,24.0,-13.0,67.0,3.99,135,0.00,0.00,0.00
13,45.0,2.0,37.0,3.94,162,0.00,0.00,0.00
14,21.0,-52.0,-23.0,3.86,378,0.00,0.00,0.00
15,57.0,-19.0,40.0,3.81,189,0.00,0.00,0.00
16,48.0,11.0,31.0,3.76,135,0.00,0.00,0.00
17,-33.0,5.0,25.0,3.71,27,0.00,0.00,0.00
18,48.0,-1.0,55.0,3.69,54,0.00,0.00,0.00
19,-48.0,29.0,28.0,3.64,27,0.00,0.00,0.00
20,42.0,-4.0,43.0,3.60,54,0.00,0.00,0.00
21,33.0,44.0,13.0,3.59,54,0.00,0.00,0.00
22,27.0,-49.0,46.0,3.55,27,0.00,0.00,0.00
23,-48.0,41.0,10.0,3.53,27,0.00,0.00,0.00
24,33.0,-64.0,-29.0,3.51,27,0.00,0.00,0.00
