Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,21.0,-94.0,4.0,6.70,6642,1.00,1.00,0.89
1a,27.0,-88.0,-5.0,6.54,,,,
2,-51.0,-37.0,4.0,6.67,810,1.00,1.00,0.10
3,-24.0,-88.0,-11.0,6.48,7425,1.00,1.00,0.90
3a,-21.0,-91.0,4.0,6.34,,,,
3b,-12.0,-88.0,-8.0,6.25,,,,
4,-60.0,-31.0,25.0,6.13,1782,1.00,1.00,0.59
4a,-57.0,-37.0,34.0,5.85,,,,
5,3.0,-67.0,61.0,5.85,1215,1.00,1.00,0.40
5a,0.0,-76.0,46.0,5.18,,,,
6,63.0,-34.0,28.0,5.53,783,1.00,1.00,0.07
6a,60.0,-22.0,19.0,5.28,,,,
7,-3.0,-55.0,67.0,5.52,324,1.00,1.00,0.00
8,-54.0,-4.0,49.0,5.48,189,1.00,1.00,0.00
9,51.0,-64.0,40.0,5.46,1485,1.00,1.00,0.51
9a,51.0,-55.0,46.0,5.30,,,,
10,54.0,11.0,7.0,5.44,162,1.00,1.00,0.00
11,-33.0,-58.0,40.0,5.38,891,1.00,1.00,0.18
12,6.0,-91.0,37.0,5.32,108,1.00,1.00,0.00
13,3.0,-94.0,19.0,5.27,216,1.00,1.00,0.00
13a,3.0,-94.0,28.0,5.21,,,,
14,39.0,-67.0,49.0,5.25,243,1.00,1.00,0.00
15,51.0,-28.0,4.0,5.25,81,1.00,1.00,0.00
16,-18.0,-49.0,64.0,5.23,162,1.00,1.00,0.00
17,54.0,-7.0,-11.0,5.10,27,1.00,1.00,0.00
18,-54.0,-70.0,1.0,5.08,27,1.00,1.00,0.00
19,-51.0,-4.0,52.0,5.07,27,1.00,1.00,0.00
20,-54.0,-52.0,-20.0,5.04,27,1.00,1.00,0.00
21,-3.0,-31.0,28.0,5.01,27,1.00,1.00,0.00
22,57.0,-4.0,-11.0,5.01,27,1.00,1.00,0.00
