Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,36.0,-82.0,19.0,9.51,127548,0.96,0.97,0.98
1a,-33.0,-88.0,10.0,9.45,,,,
1b,27.0,-61.0,-11.0,9.29,,,,
1c,0.0,-82.0,13.0,8.40,,,,
2,42.0,-46.0,-20.0,6.60,2403,0.54,0.56,0.35
3,-9.0,47.0,-26.0,6.11,1134,0.50,0.55,0.00
4,-27.0,26.0,55.0,5.47,2187,0.27,0.28,0.23
4a,-42.0,20.0,52.0,4.19,,,,
4b,-15.0,38.0,55.0,4.02,,,,
5,-21.0,35.0,-14.0,5.43,1782,0.42,0.44,0.21
6,0.0,-64.0,37.0,5.32,2484,0.28,0.30,0.29
7,6.0,47.0,-26.0,5.32,1485,0.18,0.20,0.00
7a,12.0,53.0,-23.0,4.86,,,,
8,24.0,2.0,-17.0,5.29,1809,0.25,0.27,0.06
8a,21.0,-10.0,-14.0,4.54,,,,
9,48.0,-61.0,-8.0,5.20,2160,0.34,0.36,0.25
10,-39.0,11.0,-23.0,5.15,2106,0.08,0.12,0.09
10a,-39.0,8.0,-11.0,4.17,,,,
10b,-39.0,23.0,-23.0,4.06,,,,
11,-51.0,-67.0,25.0,5.09,7452,0.43,0.54,0.72
11a,-48.0,-67.0,37.0,4.75,,,,
11b,-48.0,-55.0,19.0,4.60,,,,
11c,-57.0,-43.0,13.0,4.11,,,,
12,3.0,59.0,25.0,4.60,1890,0.00,0.00,0.00
12a,-9.0,59.0,28.0,3.93,,,,
12b,-9.0,56.0,40.0,3.74,,,,
12c,6.0,68.0,19.0,3.64,,,,
13,33.0,29.0,-17.0,4.60,1026,0.00,0.00,0.00
13a,21.0,32.0,-14.0,3.99,,,,
14,51.0,-10.0,-17.0,4.54,783,0.00,0.00,0.00
15,3.0,11.0,-11.0,4.45,270,0.00,0.00,0.00
16,18.0,32.0,49.0,4.44,972,0.00,0.00,0.00
16a,6.0,41.0,52.0,3.90,,,,
17,-21.0,-10.0,-14.0,4.16,243,0.00,0.00,0.00
18,-60.0,-7.0,-17.0,4.15,675,0.00,0.00,0.00
19,-24.0,-1.0,-47.0,4.09,189,0.00,0.00,0.00
20,48.0,-52.0,13.0,4.04,999,0.00,0.00,0.00
20a,57.0,-61.0,19.0,3.87,,,,
21,39.0,23.0,-32.0,4.02,270,0.00,0.00,0.00
22,42.0,14.0,-20.0,3.98,162,0.00,0.00,0.00
23,-6.0,-79.0,52.0,3.84,54,0.00,0.00,0.00
24,3.0,65.0,-8.0,3.79,27,0.00,0.00,0.00
25,-27.0,-7.0,-20.0,3.78,27,0.00,0.00,0.00
26,15.0,-46.0,-50.0,3.74,27,0.00,0.00,0.00
27,6.0,53.0,43.0,3.73,162,0.00,0.00,0.00
28,3.0,65.0,1.0,3.72,27,0.00,0.00,0.00
29,-45.0,14.0,52.0,3.59,27,0.00,0.00,0.00
30,-42.0,-61.0,-20.0,3.58,27,0.00,0.00,0.00
31,-42.0,11.0,55.0,3.58,27,0.00,0.00,0.00
32,3.0,65.0,16.0,3.57,27,0.00,0.00,0.00
33,-66.0,-43.0,4.0,3.55,27,0.00,0.00,0.00
34,-30.0,8.0,-44.0,3.55,27,0.00,0.00,0.00
35,3.0,59.0,-2.0,3.54,27,0.00,0.00,0.00
36,39.0,35.0,-17.0,3.53,27,0.00,0.00,0.00
37,-6.0,35.0,43.0,3.53,27,0.00,0.00,0.00
38,-3.0,44.0,43.0,3.52,27,0.00,0.00,0.00
