Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),Number of Voxels,TDP (ARI),TDP (Notip),TDP (pARI),TDP (pARI1)
1,-39.0,-22.0,52.0,10.66,16929.0,627.0,0.88,0.91,0.89,0.91
2,-3.0,-22.0,70.0,10.42,30510.0,1130.0,0.85,0.92,0.94,0.93
2a,-3.0,-34.0,70.0,10.25,,,,,,
2b,-9.0,-40.0,70.0,10.08,,,,,,
2c,18.0,-46.0,70.0,6.75,,,,,,
3,21.0,-31.0,-26.0,9.38,5211.0,193.0,0.77,0.79,0.7,0.8
3a,3.0,-46.0,-8.0,4.53,,,,,,
4,21.0,-52.0,-20.0,9.38,6183.0,229.0,0.68,0.75,0.72,0.76
4a,6.0,-61.0,-20.0,4.83,,,,,,
4b,6.0,-67.0,-11.0,4.42,,,,,,
5,12.0,-64.0,-47.0,5.79,1215.0,45.0,0.56,0.6,0.18,0.67
5a,21.0,-58.0,-50.0,5.74,,,,,,
6,-33.0,-4.0,7.0,5.65,270.0,10.0,0.3,0.4,0.0,0.4
7,-33.0,-25.0,16.0,5.5,216.0,8.0,0.25,0.25,0.0,0.12
8,48.0,-28.0,25.0,5.01,1485.0,55.0,0.18,0.27,0.0,0.31
9,-24.0,-34.0,-29.0,4.79,864.0,32.0,0.12,0.16,0.0,0.19
9a,-18.0,-34.0,-23.0,4.78,,,,,,
10,-9.0,-4.0,40.0,4.78,972.0,36.0,0.03,0.03,0.0,0.06
10a,6.0,-4.0,43.0,4.11,,,,,,
11,3.0,-40.0,-11.0,4.41,27.0,1.0,0.0,0.0,0.0,0.0
12,-48.0,-31.0,19.0,4.37,432.0,16.0,0.0,0.0,0.0,0.0
13,66.0,-1.0,7.0,4.37,1566.0,58.0,0.0,0.09,0.0,0.12
13a,63.0,11.0,25.0,4.25,,,,,,
13b,63.0,-1.0,31.0,4.17,,,,,,
14,6.0,-67.0,-35.0,4.27,135.0,5.0,0.0,0.0,0.0,0.0
15,69.0,-19.0,28.0,4.04,243.0,9.0,0.0,0.0,0.0,0.0
16,-30.0,-10.0,-2.0,3.93,135.0,5.0,0.0,0.0,0.0,0.0
17,69.0,-13.0,16.0,3.8,189.0,7.0,0.0,0.0,0.0,0.0
18,-27.0,2.0,7.0,3.75,27.0,1.0,0.0,0.0,0.0,0.0
19,-15.0,-31.0,43.0,3.73,27.0,1.0,0.0,0.0,0.0,0.0
20,-30.0,-1.0,4.0,3.56,27.0,1.0,0.0,0.0,0.0,0.0
21,0.0,11.0,10.0,3.53,27.0,1.0,0.0,0.0,0.0,0.0
22,51.0,2.0,1.0,3.53,27.0,1.0,0.0,0.0,0.0,0.0
23,-3.0,-67.0,-50.0,3.51,27.0,1.0,0.0,0.0,0.0,0.0
