Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),Number of Voxels,TDP (ARI),TDP (Notip),TDP (pARI),TDP (pARI1)
1,-27.0,-94.0,16.0,7.0,142452.0,5276.0,0.85,0.91,0.94,0.92
1a,-18.0,-94.0,4.0,7.0,,,,,,
1b,39.0,-76.0,-11.0,6.92,,,,,,
1c,-21.0,-91.0,-2.0,6.9,,,,,,
2,57.0,-22.0,19.0,6.66,61533.0,2279.0,0.71,0.81,0.87,0.83
2a,54.0,2.0,4.0,6.39,,,,,,
2b,57.0,-31.0,28.0,6.08,,,,,,
2c,51.0,-10.0,13.0,5.95,,,,,,
3,-42.0,-10.0,10.0,6.17,32994.0,1222.0,0.62,0.71,0.77,0.73
3a,-63.0,-34.0,16.0,5.98,,,,,,
3b,-45.0,-19.0,1.0,5.19,,,,,,
3c,-48.0,-34.0,22.0,5.02,,,,,,
4,3.0,-28.0,7.0,5.98,64125.0,2375.0,0.65,0.8,0.88,0.83
4a,0.0,-25.0,25.0,5.91,,,,,,
4b,9.0,26.0,-14.0,5.4,,,,,,
4c,12.0,-25.0,40.0,5.36,,,,,,
5,-18.0,-25.0,28.0,5.91,1215.0,45.0,0.44,0.51,0.0,0.53
5a,-15.0,-7.0,25.0,4.49,,,,,,
6,-3.0,20.0,49.0,5.19,9207.0,341.0,0.31,0.43,0.45,0.46
6a,-9.0,20.0,40.0,4.78,,,,,,
7,-42.0,23.0,1.0,5.14,15309.0,567.0,0.4,0.52,0.57,0.54
7a,-39.0,26.0,-11.0,4.94,,,,,,
7b,-33.0,29.0,-2.0,4.92,,,,,,
7c,-54.0,35.0,10.0,4.83,,,,,,
8,21.0,-40.0,64.0,5.12,6264.0,232.0,0.19,0.31,0.28,0.33
8a,21.0,-28.0,64.0,5.06,,,,,,
8b,3.0,-52.0,70.0,4.15,,,,,,
8c,12.0,-46.0,58.0,4.09,,,,,,
9,57.0,35.0,10.0,5.1,20655.0,765.0,0.45,0.58,0.65,0.61
9a,45.0,14.0,25.0,4.98,,,,,,
9b,54.0,29.0,22.0,4.8,,,,,,
9c,42.0,32.0,-11.0,4.79,,,,,,
10,-63.0,-34.0,-20.0,4.95,3807.0,141.0,0.16,0.27,0.18,0.3
11,18.0,-52.0,-26.0,4.93,6102.0,226.0,0.15,0.27,0.26,0.3
11a,3.0,-64.0,-11.0,4.36,,,,,,
11b,3.0,-46.0,-8.0,3.89,,,,,,
11c,9.0,-46.0,-17.0,3.83,,,,,,
12,3.0,-28.0,16.0,4.92,54.0,2.0,1.0,1.0,0.0,0.5
13,-45.0,-64.0,37.0,4.84,3564.0,132.0,0.03,0.06,0.0,0.07
13a,-51.0,-46.0,43.0,3.7,,,,,,
14,-3.0,-31.0,13.0,4.82,27.0,1.0,1.0,1.0,0.0,0.0
15,-45.0,8.0,-35.0,4.78,6318.0,234.0,0.08,0.21,0.22,0.24
15a,-30.0,-10.0,-35.0,4.63,,,,,,
15b,-54.0,11.0,-29.0,4.38,,,,,,
15c,-30.0,5.0,-44.0,3.7,,,,,,
16,6.0,-91.0,-29.0,4.65,2133.0,79.0,0.03,0.05,0.0,0.08
16a,3.0,-73.0,-35.0,3.85,,,,,,
16b,30.0,-88.0,-32.0,3.63,,,,,,
16c,3.0,-82.0,-38.0,3.6,,,,,,
17,3.0,-16.0,-32.0,4.64,756.0,28.0,0.0,0.07,0.0,0.07
18,12.0,26.0,1.0,4.64,270.0,10.0,0.0,0.1,0.0,0.0
19,-21.0,-34.0,22.0,4.47,81.0,3.0,0.0,0.0,0.0,0.0
20,-3.0,-16.0,22.0,4.44,27.0,1.0,0.0,0.0,0.0,0.0
21,27.0,-4.0,-23.0,4.44,7317.0,271.0,0.04,0.18,0.23,0.22
21a,30.0,-4.0,-35.0,4.16,,,,,,
21b,39.0,-16.0,-35.0,3.57,,,,,,
21c,15.0,-7.0,-11.0,3.19,,,,,,
22,18.0,-19.0,28.0,4.37,810.0,30.0,0.0,0.0,0.0,0.0
22a,18.0,-4.0,25.0,3.96,,,,,,
23,-6.0,-22.0,22.0,4.35,27.0,1.0,0.0,0.0,0.0,0.0
24,21.0,-16.0,61.0,4.35,351.0,13.0,0.0,0.0,0.0,0.0
25,-15.0,26.0,-5.0,4.3,135.0,5.0,0.0,0.0,0.0,0.0
26,-6.0,-13.0,-23.0,4.27,216.0,8.0,0.0,0.0,0.0,0.0
27,15.0,-25.0,-8.0,4.21,567.0,21.0,0.0,0.0,0.0,0.0
28,6.0,59.0,19.0,4.12,3375.0,125.0,0.0,0.0,0.0,0.0
28a,-12.0,50.0,46.0,3.78,,,,,,
28b,-12.0,44.0,52.0,3.59,,,,,,
28c,-9.0,65.0,25.0,3.43,,,,,,
29,51.0,-73.0,-29.0,4.12,918.0,34.0,0.0,0.0,0.0,0.0
29a,51.0,-67.0,-41.0,3.41,,,,,,
30,12.0,-19.0,25.0,4.07,54.0,2.0,0.0,0.0,0.0,0.0
31,-33.0,-73.0,-44.0,4.0,1620.0,60.0,0.0,0.0,0.0,0.0
31a,-33.0,-85.0,-41.0,3.61,,,,,,
32,36.0,17.0,-35.0,3.91,2673.0,99.0,0.0,0.0,0.0,0.0
33,18.0,-31.0,-29.0,3.85,378.0,14.0,0.0,0.0,0.0,0.0
34,27.0,-55.0,49.0,3.77,891.0,33.0,0.0,0.0,0.0,0.0
34a,24.0,-67.0,58.0,3.26,,,,,,
35,0.0,-49.0,-47.0,3.75,216.0,8.0,0.0,0.0,0.0,0.0
36,0.0,-22.0,-8.0,3.71,54.0,2.0,0.0,0.0,0.0,0.0
37,-12.0,-91.0,-32.0,3.68,351.0,13.0,0.0,0.0,0.0,0.0
37a,-3.0,-91.0,-32.0,3.22,,,,,,
38,-15.0,-52.0,-50.0,3.67,216.0,8.0,0.0,0.0,0.0,0.0
39,-24.0,-13.0,-14.0,3.64,432.0,16.0,0.0,0.0,0.0,0.0
40,3.0,62.0,-20.0,3.63,351.0,13.0,0.0,0.0,0.0,0.0
41,3.0,-22.0,-5.0,3.57,108.0,4.0,0.0,0.0,0.0,0.0
42,-60.0,-58.0,-23.0,3.56,135.0,5.0,0.0,0.0,0.0,0.0
43,-30.0,-43.0,4.0,3.55,27.0,1.0,0.0,0.0,0.0,0.0
44,-45.0,5.0,40.0,3.55,2727.0,101.0,0.0,0.0,0.0,0.0
44a,-36.0,8.0,31.0,3.42,,,,,,
45,12.0,23.0,28.0,3.53,162.0,6.0,0.0,0.0,0.0,0.0
46,-6.0,-16.0,19.0,3.51,54.0,2.0,0.0,0.0,0.0,0.0
47,-12.0,-37.0,10.0,3.51,27.0,1.0,0.0,0.0,0.0,0.0
48,15.0,-52.0,-50.0,3.5,108.0,4.0,0.0,0.0,0.0,0.0
49,12.0,14.0,70.0,3.5,108.0,4.0,0.0,0.0,0.0,0.0
50,18.0,5.0,22.0,3.47,27.0,1.0,0.0,0.0,0.0,0.0
51,33.0,-46.0,7.0,3.44,27.0,1.0,0.0,0.0,0.0,0.0
52,0.0,5.0,-23.0,3.43,189.0,7.0,0.0,0.0,0.0,0.0
53,-12.0,14.0,-14.0,3.34,243.0,9.0,0.0,0.0,0.0,0.0
54,-27.0,2.0,49.0,3.32,270.0,10.0,0.0,0.0,0.0,0.0
55,15.0,26.0,7.0,3.32,27.0,1.0,0.0,0.0,0.0,0.0
56,0.0,-22.0,70.0,3.27,81.0,3.0,0.0,0.0,0.0,0.0
57,15.0,-22.0,25.0,3.27,27.0,1.0,0.0,0.0,0.0,0.0
58,-30.0,50.0,16.0,3.27,324.0,12.0,0.0,0.0,0.0,0.0
58a,-36.0,56.0,19.0,3.17,,,,,,
59,39.0,-85.0,-29.0,3.27,54.0,2.0,0.0,0.0,0.0,0.0
60,-3.0,-19.0,-5.0,3.26,54.0,2.0,0.0,0.0,0.0,0.0
61,-48.0,-70.0,-44.0,3.26,162.0,6.0,0.0,0.0,0.0,0.0
62,15.0,-31.0,-44.0,3.24,27.0,1.0,0.0,0.0,0.0,0.0
