Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,42.0,-58.0,-20.0,10.29,35937,1.00,1.00,0.98
1a,18.0,-100.0,10.0,8.41,,,,
1b,48.0,-67.0,16.0,7.28,,,,
2,-12.0,-103.0,7.0,8.91,5319,1.00,1.00,0.86
3,21.0,-7.0,-17.0,8.31,2484,1.00,1.00,0.71
3a,33.0,-7.0,-11.0,6.49,,,,
4,-48.0,-67.0,19.0,7.23,4887,1.00,1.00,0.85
4a,-51.0,-79.0,10.0,7.18,,,,
5,-18.0,-7.0,-17.0,7.13,1242,1.00,1.00,0.41
6,-36.0,-61.0,-20.0,7.10,4050,1.00,1.00,0.82
6a,-33.0,-73.0,-17.0,6.68,,,,
7,15.0,-31.0,-2.0,6.57,459,1.00,1.00,0.00
8,-18.0,-88.0,-2.0,5.64,27,1.00,1.00,0.00
9,9.0,-88.0,-8.0,5.63,27,1.00,1.00,0.00
10,27.0,-1.0,70.0,5.57,54,1.00,1.00,0.00
