Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,-27.0,-94.0,16.0,7.00,100791,0.99,1.00,0.99
1a,-18.0,-94.0,4.0,7.00,,,,
1b,39.0,-76.0,-11.0,6.92,,,,
1c,-21.0,-91.0,-2.0,6.90,,,,
2,57.0,-22.0,19.0,6.66,31131,0.98,0.99,0.97
2a,54.0,2.0,4.0,6.39,,,,
2b,57.0,-31.0,28.0,6.08,,,,
2c,51.0,-10.0,13.0,5.95,,,,
3,-42.0,-10.0,10.0,6.17,16200,0.96,0.97,0.94
3a,-63.0,-34.0,16.0,5.98,,,,
3b,-45.0,-19.0,1.0,5.19,,,,
3c,-48.0,-34.0,22.0,5.02,,,,
4,3.0,-28.0,7.0,5.98,3672,0.87,0.90,0.76
4a,18.0,-34.0,10.0,5.03,,,,
5,-18.0,-25.0,28.0,5.91,864,0.62,0.69,0.00
5a,-15.0,-7.0,25.0,4.49,,,,
6,0.0,-25.0,25.0,5.91,8910,0.93,0.95,0.90
6a,12.0,-25.0,40.0,5.36,,,,
6b,0.0,-13.0,58.0,4.58,,,,
6c,3.0,-40.0,19.0,4.44,,,,
7,9.0,26.0,-14.0,5.40,3105,0.81,0.87,0.71
7a,-3.0,26.0,-8.0,5.35,,,,
7b,0.0,14.0,1.0,5.03,,,,
7c,6.0,32.0,1.0,4.93,,,,
8,3.0,-34.0,4.0,5.32,378,0.57,0.64,0.00
9,15.0,-61.0,34.0,5.24,4671,0.87,0.91,0.81
9a,6.0,-73.0,37.0,5.04,,,,
9b,15.0,-64.0,25.0,4.99,,,,
10,-18.0,-34.0,61.0,5.20,3213,0.82,0.87,0.72
10a,-24.0,-37.0,55.0,4.83,,,,
11,-3.0,20.0,49.0,5.19,3375,0.82,0.88,0.74
11a,-9.0,20.0,40.0,4.78,,,,
12,-42.0,23.0,1.0,5.14,5373,0.89,0.92,0.83
12a,-39.0,26.0,-11.0,4.94,,,,
12b,-33.0,29.0,-2.0,4.92,,,,
12c,-54.0,35.0,10.0,4.83,,,,
13,21.0,-40.0,64.0,5.12,1539,0.67,0.74,0.42
13a,21.0,-28.0,64.0,5.06,,,,
14,57.0,35.0,10.0,5.10,6831,0.92,0.94,0.87
14a,45.0,14.0,25.0,4.98,,,,
14b,54.0,29.0,22.0,4.80,,,,
14c,42.0,32.0,-11.0,4.79,,,,
15,-63.0,-34.0,-20.0,4.95,1134,0.55,0.64,0.24
16,18.0,-52.0,-26.0,4.93,891,0.39,0.58,0.03
17,3.0,-28.0,16.0,4.92,54,1.00,1.00,0.00
18,-45.0,-64.0,37.0,4.84,459,0.24,0.41,0.00
19,-3.0,-31.0,13.0,4.82,27,1.00,1.00,0.00
20,-45.0,8.0,-35.0,4.78,810,0.33,0.53,0.00
20a,-54.0,11.0,-29.0,4.38,,,,
21,-18.0,-31.0,-5.0,4.76,216,0.12,0.25,0.00
22,6.0,-91.0,-29.0,4.65,378,0.14,0.21,0.00
23,3.0,-16.0,-32.0,4.64,189,0.00,0.29,0.00
24,12.0,26.0,1.0,4.64,54,0.00,0.50,0.00
25,-30.0,-10.0,-35.0,4.63,243,0.33,0.33,0.00
26,33.0,-37.0,1.0,4.60,81,0.33,0.33,0.00
27,12.0,-55.0,31.0,4.48,243,0.00,0.00,0.00
28,-21.0,-34.0,22.0,4.47,54,0.00,0.00,0.00
29,-3.0,-16.0,22.0,4.44,27,0.00,0.00,0.00
30,27.0,-4.0,-23.0,4.44,783,0.24,0.48,0.00
30a,30.0,-4.0,-35.0,4.16,,,,
31,18.0,-19.0,28.0,4.37,81,0.00,0.00,0.00
32,3.0,-64.0,-11.0,4.36,297,0.00,0.00,0.00
33,-6.0,-22.0,22.0,4.35,27,0.00,0.00,0.00
34,21.0,-16.0,61.0,4.35,27,0.00,0.00,0.00
35,-15.0,26.0,-5.0,4.30,27,0.00,0.00,0.00
36,-6.0,-13.0,-23.0,4.27,27,0.00,0.00,0.00
37,15.0,26.0,-2.0,4.27,54,0.00,0.00,0.00
38,9.0,20.0,-2.0,4.21,27,0.00,0.00,0.00
39,15.0,-25.0,-8.0,4.21,54,0.00,0.00,0.00
40,3.0,-52.0,70.0,4.15,81,0.00,0.00,0.00
41,-54.0,26.0,28.0,4.14,27,0.00,0.00,0.00
42,27.0,2.0,-32.0,4.14,54,0.00,0.00,0.00
43,-54.0,29.0,22.0,4.13,54,0.00,0.00,0.00
44,12.0,23.0,-2.0,4.13,27,0.00,0.00,0.00
45,6.0,59.0,19.0,4.12,81,0.00,0.00,0.00
46,51.0,-73.0,-29.0,4.12,54,0.00,0.00,0.00
47,3.0,-43.0,10.0,4.12,54,0.00,0.00,0.00
48,12.0,-46.0,58.0,4.09,27,0.00,0.00,0.00
49,-9.0,-4.0,37.0,4.09,27,0.00,0.00,0.00
50,-3.0,-61.0,-5.0,4.07,27,0.00,0.00,0.00
51,12.0,-19.0,25.0,4.07,27,0.00,0.00,0.00
52,69.0,-31.0,1.0,4.06,54,0.00,0.00,0.00
53,21.0,-25.0,-8.0,4.06,27,0.00,0.00,0.00
54,15.0,-28.0,-5.0,4.04,27,0.00,0.00,0.00
55,69.0,-43.0,1.0,4.04,27,0.00,0.00,0.00
