Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,15.0,-52.0,13.0,9.07,4644,0.74,0.78,0.70
2,-15.0,-58.0,13.0,8.15,3861,0.65,0.71,0.61
3,30.0,-40.0,-11.0,7.46,10584,0.68,0.79,0.83
3a,33.0,-22.0,-26.0,5.16,,,,
3b,15.0,-28.0,1.0,3.60,,,,
4,-27.0,-43.0,-11.0,6.91,15228,0.66,0.84,0.88
4a,-27.0,-22.0,-23.0,5.36,,,,
4b,-21.0,-73.0,-14.0,4.70,,,,
4c,-27.0,-70.0,-20.0,4.70,,,,
5,-33.0,-82.0,34.0,5.66,7290,0.56,0.71,0.76
6,36.0,-82.0,25.0,5.36,6939,0.46,0.65,0.74
6a,36.0,-76.0,37.0,4.90,,,,
7,-9.0,-37.0,43.0,4.99,6993,0.45,0.66,0.75
7a,12.0,-46.0,46.0,4.53,,,,
7b,-9.0,-49.0,46.0,4.47,,,,
8,21.0,-73.0,-17.0,4.50,3375,0.00,0.34,0.47
8a,18.0,-88.0,-14.0,3.95,,,,
9,36.0,-46.0,-29.0,4.09,297,0.00,0.00,0.00
10,-42.0,-37.0,10.0,4.09,108,0.00,0.00,0.00
11,30.0,-37.0,70.0,3.97,540,0.00,0.00,0.00
12,-24.0,-40.0,61.0,3.94,243,0.00,0.00,0.00
13,-30.0,-43.0,-44.0,3.88,81,0.00,0.00,0.00
14,-9.0,-46.0,7.0,3.80,27,0.00,0.00,0.00
15,33.0,-22.0,10.0,3.78,54,0.00,0.00,0.00
16,-18.0,-10.0,-26.0,3.73,27,0.00,0.00,0.00
17,-36.0,-4.0,64.0,3.66,81,0.00,0.00,0.00
18,-15.0,-43.0,1.0,3.64,81,0.00,0.00,0.00
19,21.0,-94.0,7.0,3.62,81,0.00,0.00,0.00
20,-24.0,-79.0,46.0,3.62,27,0.00,0.00,0.00
21,-21.0,-82.0,46.0,3.55,27,0.00,0.00,0.00
22,48.0,-25.0,10.0,3.54,27,0.00,0.00,0.00
23,-12.0,-43.0,4.0,3.51,27,0.00,0.00,0.00
