Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,-39.0,-24.0,57.0,7.68,12366,0.94,0.98,0.93
2,39.0,-21.0,54.0,7.30,18171,0.96,0.99,0.95
2a,51.0,-15.0,54.0,6.70,,,,
3,-18.0,-51.0,-24.0,6.42,4104,0.82,0.93,0.79
4,21.0,-48.0,-24.0,6.16,1971,0.68,0.88,0.58
5,45.0,-18.0,18.0,5.02,2025,0.65,0.87,0.59
6,9.0,-18.0,51.0,4.98,918,0.35,0.71,0.09
7,33.0,-9.0,0.0,4.76,648,0.33,0.62,0.00
8,-42.0,-18.0,15.0,4.76,486,0.06,0.44,0.00
9,-6.0,-21.0,48.0,4.74,405,0.07,0.40,0.00
9a,-6.0,-9.0,48.0,4.34,,,,
