Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,-42.0,17.0,-23.0,5.62,15687,0.32,0.50,0.60
1a,-51.0,-7.0,-17.0,5.20,,,,
1b,-51.0,32.0,4.0,4.83,,,,
1c,-36.0,29.0,-14.0,4.72,,,,
2,6.0,-67.0,49.0,5.50,13635,0.28,0.48,0.58
2a,-6.0,-73.0,43.0,4.63,,,,
2b,-12.0,-70.0,31.0,4.44,,,,
3,-30.0,38.0,40.0,5.00,5130,0.11,0.28,0.29
3a,-45.0,26.0,40.0,4.38,,,,
3b,-24.0,35.0,34.0,4.34,,,,
4,-18.0,-13.0,-17.0,4.84,2052,0.01,0.09,0.00
5,3.0,-19.0,31.0,4.71,4266,0.08,0.16,0.16
5a,0.0,-37.0,25.0,4.42,,,,
5b,0.0,-31.0,46.0,4.30,,,,
6,21.0,59.0,-2.0,4.57,4995,0.00,0.10,0.15
6a,27.0,59.0,10.0,4.33,,,,
6b,33.0,44.0,7.0,3.74,,,,
6c,27.0,50.0,-5.0,3.31,,,,
7,33.0,32.0,49.0,4.47,6993,0.00,0.02,0.14
7a,36.0,44.0,28.0,4.12,,,,
7b,30.0,50.0,31.0,4.03,,,,
7c,30.0,14.0,61.0,3.89,,,,
8,3.0,38.0,25.0,4.40,4590,0.00,0.00,0.00
8a,6.0,47.0,1.0,4.01,,,,
8b,6.0,29.0,34.0,3.91,,,,
8c,15.0,35.0,22.0,3.46,,,,
9,-54.0,-55.0,-35.0,4.11,378,0.00,0.00,0.00
10,54.0,-52.0,40.0,4.09,1404,0.00,0.00,0.00
10a,51.0,-43.0,52.0,3.55,,,,
11,45.0,20.0,-29.0,4.08,1188,0.00,0.00,0.00
12,48.0,-64.0,13.0,4.08,1701,0.00,0.00,0.00
12a,39.0,-70.0,16.0,3.34,,,,
12b,33.0,-76.0,16.0,3.23,,,,
13,-18.0,5.0,1.0,4.05,459,0.00,0.00,0.00
13a,-21.0,-1.0,7.0,4.02,,,,
14,-45.0,-64.0,-41.0,3.99,1080,0.00,0.00,0.00
15,54.0,35.0,-11.0,3.97,1863,0.00,0.00,0.00
15a,57.0,35.0,1.0,3.96,,,,
15b,42.0,35.0,-14.0,3.56,,,,
16,-33.0,-73.0,16.0,3.92,135,0.00,0.00,0.00
17,18.0,-7.0,-20.0,3.89,648,0.00,0.00,0.00
18,-54.0,-7.0,43.0,3.81,837,0.00,0.00,0.00
18a,-45.0,2.0,43.0,3.15,,,,
18b,-54.0,2.0,43.0,3.08,,,,
19,-18.0,62.0,-2.0,3.79,1350,0.00,0.00,0.00
19a,-27.0,59.0,-5.0,3.61,,,,
19b,-27.0,50.0,-5.0,3.23,,,,
20,-24.0,-88.0,-17.0,3.74,486,0.00,0.00,0.00
21,-21.0,-34.0,-17.0,3.67,216,0.00,0.00,0.00
22,57.0,-37.0,19.0,3.64,432,0.00,0.00,0.00
23,54.0,-7.0,-17.0,3.64,486,0.00,0.00,0.00
24,-60.0,-19.0,-26.0,3.56,351,0.00,0.00,0.00
25,-3.0,17.0,58.0,3.56,324,0.00,0.00,0.00
26,-6.0,44.0,-17.0,3.51,162,0.00,0.00,0.00
27,-51.0,-55.0,19.0,3.48,351,0.00,0.00,0.00
28,-9.0,59.0,34.0,3.48,837,0.00,0.00,0.00
28a,-6.0,59.0,25.0,3.42,,,,
29,42.0,-73.0,-17.0,3.37,270,0.00,0.00,0.00
30,-21.0,11.0,67.0,3.36,189,0.00,0.00,0.00
31,-42.0,5.0,-41.0,3.34,135,0.00,0.00,0.00
32,30.0,26.0,10.0,3.33,81,0.00,0.00,0.00
33,18.0,-61.0,13.0,3.30,189,0.00,0.00,0.00
34,18.0,17.0,-11.0,3.29,27,0.00,0.00,0.00
35,-54.0,-10.0,1.0,3.27,54,0.00,0.00,0.00
36,-18.0,20.0,61.0,3.26,135,0.00,0.00,0.00
37,-9.0,-88.0,-20.0,3.26,297,0.00,0.00,0.00
38,-66.0,-19.0,13.0,3.25,135,0.00,0.00,0.00
39,-6.0,35.0,13.0,3.24,243,0.00,0.00,0.00
40,-39.0,-13.0,-2.0,3.24,27,0.00,0.00,0.00
41,6.0,65.0,-2.0,3.22,54,0.00,0.00,0.00
42,6.0,53.0,-17.0,3.22,81,0.00,0.00,0.00
43,-33.0,-43.0,-35.0,3.20,81,0.00,0.00,0.00
44,63.0,-22.0,-11.0,3.13,54,0.00,0.00,0.00
45,-66.0,-31.0,22.0,3.12,54,0.00,0.00,0.00
46,-57.0,-28.0,25.0,3.11,27,0.00,0.00,0.00
47,-33.0,5.0,43.0,3.10,27,0.00,0.00,0.00
48,6.0,68.0,1.0,3.08,27,0.00,0.00,0.00
49,-36.0,-88.0,19.0,3.08,27,0.00,0.00,0.00
50,9.0,-52.0,-44.0,3.06,27,0.00,0.00,0.00
51,-9.0,59.0,1.0,3.06,54,0.00,0.00,0.00
52,18.0,-31.0,73.0,3.01,27,0.00,0.00,0.00
53,51.0,-64.0,-5.0,3.01,27,0.00,0.00,0.00
54,-57.0,-40.0,1.0,3.00,27,0.00,0.00,0.00
