Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,-15.0,-91.0,-11.0,8.80,7317,1.00,1.00,0.90
1a,-27.0,-52.0,-11.0,7.06,,,,
1b,-27.0,-73.0,-11.0,6.93,,,,
1c,-15.0,-100.0,13.0,6.46,,,,
2,15.0,-94.0,1.0,7.91,3753,1.00,1.00,0.81
2a,27.0,-73.0,-11.0,7.20,,,,
2b,27.0,-64.0,-11.0,6.77,,,,
3,54.0,-64.0,4.0,7.79,6831,1.00,1.00,0.89
4,45.0,-40.0,-17.0,7.43,2241,1.00,1.00,0.67
4a,48.0,-49.0,-23.0,6.86,,,,
5,3.0,44.0,-23.0,7.06,675,1.00,1.00,0.00
6,-27.0,-94.0,19.0,6.89,864,1.00,1.00,0.16
6a,-21.0,-91.0,7.0,5.87,,,,
7,-18.0,35.0,-17.0,6.69,810,1.00,1.00,0.10
7a,-21.0,26.0,-20.0,6.14,,,,
8,-48.0,-67.0,13.0,6.64,1620,1.00,1.00,0.55
8a,-48.0,-76.0,7.0,5.88,,,,
9,30.0,-49.0,-8.0,5.81,54,1.00,1.00,0.00
10,-30.0,-34.0,-20.0,5.78,27,1.00,1.00,0.00
11,-9.0,41.0,-26.0,5.77,27,1.00,1.00,0.00
12,-45.0,-40.0,-20.0,5.71,81,1.00,1.00,0.00
13,24.0,-91.0,7.0,5.70,81,1.00,1.00,0.00
14,18.0,-94.0,25.0,5.70,27,1.00,1.00,0.00
15,-15.0,-70.0,31.0,5.63,54,1.00,1.00,0.00
16,-45.0,-49.0,16.0,5.61,54,1.00,1.00,0.00
17,21.0,-94.0,22.0,5.58,27,1.00,1.00,0.00
18,-27.0,-37.0,-20.0,5.58,27,1.00,1.00,0.00
19,-60.0,-31.0,34.0,5.51,27,1.00,1.00,0.00
