Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,-39.0,-24.0,57.0,7.68,15903,0.77,0.90,0.89
2,39.0,-21.0,54.0,7.30,21492,0.83,0.93,0.92
2a,51.0,-15.0,54.0,6.70,,,,
3,-18.0,-51.0,-24.0,6.42,6075,0.56,0.75,0.72
4,21.0,-48.0,-24.0,6.16,3159,0.43,0.60,0.49
5,45.0,-18.0,18.0,5.02,5022,0.41,0.68,0.66
5a,33.0,-9.0,0.0,4.76,,,,
6,9.0,-18.0,51.0,4.98,1593,0.20,0.42,0.07
7,-42.0,-18.0,15.0,4.76,1107,0.02,0.24,0.00
8,-6.0,-21.0,48.0,4.74,1026,0.03,0.18,0.00
8a,-6.0,-9.0,48.0,4.34,,,,
9,-18.0,-87.0,-9.0,3.96,567,0.00,0.00,0.00
9a,-18.0,-93.0,-3.0,3.88,,,,
10,3.0,-3.0,-6.0,3.67,81,0.00,0.00,0.00
11,18.0,-21.0,6.0,3.56,54,0.00,0.00,0.00
